,titulo,tipo_propiedad,dias_publicacion,fecha_extracción,ubicacion,valor_A,valor_B,valor_m2_prop,valor_m2_comuna,Superficie total,Superficie útil,Dormitorios,Baños,Estacionamientos,Gastos comunes,Antigüedad,Orientación,Número de piso de la unidad,Departamentos por piso,Cantidad de pisos,Bodegas
103,Primer Mes Gratis! Depto Santa Petronila 32,Departamento,Publicado hace 24 días,2021-07-01,"Santa Petronila 32, Metro Las Rejas, Estación Central, RM (Metropolitana)",210.000,,"0,29 UF/m²","0,26 UF/m²",24 m²,24 m²,1,1,,,,,,,,
104,Coronel Souper 4060,Departamento,Publicado hace 5 meses,2021-07-01,"Coronel Souper 4060, San Alberto Hurtado, Estación Central, RM (Metropolitana)",290.000,,"0,22 UF/m²","0,25 UF/m²",45 m²,45 m²,2,1,,,,,,,,
105,Departamento En Arriendo Estación Central,Departamento,Publicado hace 5 meses,2021-07-01,"Coronel Souper 3900 - 4200, San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,24 UF/m²","0,26 UF/m²",35 m²,35 m²,1,1,,28000 CLP,,,,,,
106,Alameda / Ecuador,Departamento,Publicado hace 5 meses,2021-07-01,"Alameda / Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",380.000,,"0,23 UF/m²","0,22 UF/m²",55 m²,52 m²,2,2,1,55000 CLP,3 años,,,,,
107,Radal 120,Departamento,Publicado hace 5 meses,2021-07-01,"Radal 120, Metro Ecuador, Estación Central, RM (Metropolitana)",270.000,,"0,22 UF/m²","0,26 UF/m²",42 m²,36 m²,1,1,,,,,,,,
108,Radal 0102,Departamento,Publicado hace 5 meses,2021-07-01,"Radal 0102, Metro Ecuador, Estación Central, RM (Metropolitana)",265.000,,"0,24 UF/m²","0,26 UF/m²",37 m²,34 m²,1,1,,,,,,,,
109,Avda Ecuador Altura Del 4400 - 4500,Departamento,Publicado hace 5 meses,2021-07-01,"Avda Ecuador Altura Del 4200 - 4500, Metro Ecuador, Estación Central, RM (Metropolitana)",340.000,,"0,21 UF/m²","0,25 UF/m²",54 m²,47 m²,2,1,,,,,,,,
110,Conde Del Maule 4470,Departamento,Publicado hace 4 meses,2021-07-01,"Conde Del Maule 4470, San Alberto Hurtado, Estación Central, RM (Metropolitana)",215.000,,"0,24 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,,,,,,,
111,"Primer Mes Gratis!! Depto Ecuador 4678, Metro Ecuador ",Departamento,Publicado hace 5 días,2021-07-01,"Avenida Ecuador 4500 - 4800, Metro Ecuador, Estación Central, RM (Metropolitana)",335.000,,"0,21 UF/m²","0,22 UF/m²",55 m²,55 m²,2,2,,,,,,,,
112,"Primer Mes Gratis!! Depto Ecuador 4678, Metro Ecuador ",Departamento,Publicado hace 5 días,2021-07-01,"Avenida Ecuador 4500 - 4800, Estación Central, RM (Metropolitana)",360.000,,"0,23 UF/m²","0,22 UF/m²",53 m²,53 m²,2,2,,,,,,,,
113,Conde Del Maule 4364,Departamento,Publicado hace 4 meses,2021-07-01,"Conde Del Maule 4364, San Alberto Hurtado, Estación Central, RM (Metropolitana)",210.000,,"0,35 UF/m²","0,26 UF/m²",20 m²,20 m²,1,1,,,,,,,,
114,Departamento En Radal A Dos Cuadras Del Metro Ecuador,Departamento,Publicado hace 4 meses,2021-07-01,"Departamento En Radal A Dos Cuadras Del Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",310.000,,"0,23 UF/m²","0,25 UF/m²",45 m²,43 m²,2,1,,,,,,,,
115,Conde Del Maule 4470,Departamento,Publicado hace 4 meses,2021-07-01,"Conde Del Maule 4470, San Alberto Hurtado, Estación Central, RM (Metropolitana)",300.000,,"0,25 UF/m²","0,25 UF/m²",41 m²,41 m²,2,1,,,,,,,,
116,Avenida Ecuador 5079,Departamento,Publicado hace 4 meses,2021-07-01,"Avenida Ecuador 5079, Metro Las Rejas, Estación Central, RM (Metropolitana)",430.000,,"0,26 UF/m²","0,22 UF/m²",55.16 m²,51.14 m²,2,2,,,,,,,,
117,Nuevo A Pasos Del Metro!!,Departamento,Publicado hace 4 meses,2021-07-01,"Nuevo A Pasos Del Metro!!, Metro Las Rejas, Estación Central, RM (Metropolitana)",310.000,,"0,35 UF/m²","0,26 UF/m²",30 m²,25 m²,1,1,1,,,,,,,
118,"Excelente Departamento, Metro Las Rejas",Departamento,Publicado hace 4 meses,2021-07-01,"Titan 4870 - Departamento 902-a, Metro Las Rejas, Estación Central, RM (Metropolitana)",330.000,,"0,21 UF/m²",,52 m²,50 m²,3,1,,,,,,,,
119,Coronel Souper 4060 - Departamento 309 B,Departamento,Publicado hace 4 meses,2021-07-01,"Coronel Souper 4060 - Departamento 309 B, San Alberto Hurtado, Estación Central, RM (Metropolitana)",200.000,,"0,17 UF/m²","0,26 UF/m²",40 m²,40 m²,1,1,,,,,,,,
120,Maria Rozas Velasquez 51 - Departamento 2017,Departamento,Publicado hace 4 meses,2021-07-01,"Maria Rozas Velasquez 51 - Departamento 2017, San Alberto Hurtado, Estación Central, RM (Metropolitana)",220.000,,"0,19 UF/m²","0,26 UF/m²",40 m²,40 m²,1,1,,,,,,,,
121,Coronel Souper 4060,Departamento,Publicado hace 4 meses,2021-07-01,"Coronel Souper 4060, San Alberto Hurtado, Estación Central, RM (Metropolitana)",190.000,,"0,24 UF/m²","0,26 UF/m²",27 m²,27 m²,1,1,,25000 CLP,,,,,,
122,Departamento Home Studio Santa Petronila ,Departamento,Publicado hace 4 meses,2021-07-01,"Santa Petronila 32, Metro Las Rejas, Estación Central, RM (Metropolitana)",190.000,,"0,26 UF/m²","0,26 UF/m²",25 m²,25 m²,1,1,,25000 CLP,,,,,,
123,Departamento 2 Dorm - Metro Ecuador - Estacion Central,Departamento,Publicado hace 21 días,2021-07-01,"Radal 1 - 300, Metro Ecuador, Estación Central, RM (Metropolitana)",350.000,,"0,27 UF/m²","0,25 UF/m²",44 m²,41 m²,2,1,1,75000 CLP,,,,,,
124,Departamento 1 Dorm - Bodega Ed Vitamax ,Departamento,Publicado hace 4 meses,2021-07-01,"Avenida Padre Alberto Hurtado 104, Universidad de Santiago, Estación Central, RM (Metropolitana)",230.000,,"0,23 UF/m²","0,26 UF/m²",33 m²,31 m²,1,1,,45000 CLP,,,,,,
125,Departamento 1d + 1b Alameda Metro San Alberto Hurtado,Departamento,Publicado hace 21 días,2021-07-01,"Avenida Padre Alberto Hurtado 1 - 300, San Alberto Hurtado, Estación Central, RM (Metropolitana)",260.000,,"0,26 UF/m²","0,26 UF/m²",34 m²,34 m²,1,1,,,,,,,,
126,Arriendo Dpto Nuevo 1d-1b  Comuna Estacion Central  ,Departamento,Publicado hace 4 meses,2021-07-01,"Buzo Sobenes 4650, San Alberto Hurtado, Estación Central, RM (Metropolitana)",210.000,,"0,25 UF/m²","0,26 UF/m²",28 m²,28 m²,1,1,,,,,,,,
127,Estacion Central,Departamento,Publicado hace 4 meses,2021-07-01,"Estacion Central, San Alberto Hurtado, Estación Central, RM (Metropolitana)",340.000,,"0,24 UF/m²","0,25 UF/m²",48 m²,48 m²,2,1,,,,,,,,
128,Toro Mazotte 76 - Departamento 2104,Departamento,Publicado hace 3 meses,2021-07-01,"Toro Mazotte 76 - Departamento 2104, San Alberto Hurtado, Estación Central, RM (Metropolitana)",240.000,,"0,3 UF/m²","0,26 UF/m²",27 m²,25 m²,1,1,,45000 CLP,,,,,,
129,Se Arrienda Departamento Recreo ,Departamento,Publicado hace 3 meses,2021-07-01,"Recreo 250, San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,21 UF/m²","0,26 UF/m²",40 m²,40 m²,1,1,,,,,,,,
130,Depto 2406 Recien Pintado,Departamento,Publicado hace 3 meses,2021-07-01,"Radal 66 - Departamento 2406 A, Metro Ecuador, Estación Central, RM (Metropolitana)",340.000,,"0,22 UF/m²","0,22 UF/m²",52 m²,52 m²,2,2,1,70000 CLP,,,,,,
131,Santa Petronila 32,Departamento,Publicado hace 3 meses,2021-07-01,"Santa Petronila 32, Metro Las Rejas, Estación Central, RM (Metropolitana)",280.000,,"0,31 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,35000 CLP,,,,,,
132,Excelente Departamento De 1 Dormitorio Más Bodega ,Departamento,Publicado hace 2 meses,2021-07-01,"Toro Mazote 1 - 300, San Alberto Hurtado, Estación Central, RM (Metropolitana)",220.000,,"0,25 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,45000 CLP,,,,,,
133,Conde Del Maule 4325,Departamento,Publicado hace 3 meses,2021-07-01,"Conde Del Maule 4325, San Alberto Hurtado, Estación Central, RM (Metropolitana)",280.000,,"0,2 UF/m²","0,25 UF/m²",46.5 m²,43 m²,2,1,,,,,,,,
134,Metro Ecuador,Departamento,Publicado hace 3 meses,2021-07-01,"Conde Del Maule 4500 - 4800, Metro Ecuador, Estación Central, RM (Metropolitana)",350.000,,"0,21 UF/m²",,55 m²,55 m²,3,1,,75000 CLP,,,,,,
135,Se Arrienda Departamento Nuevo - Estación Central,Departamento,Publicado hace 3 meses,2021-07-01,"Concón 1 - 300, San Alberto Hurtado, Estación Central, RM (Metropolitana)",240.000,,"0,23 UF/m²","0,26 UF/m²",35 m²,32 m²,1,1,,45000 CLP,,,,,,
136,"Primer Mes Gratis!! Depto La Coruña 4890, Metro Ecuador ",Departamento,Publicado hace 17 días,2021-07-01,"La Coruña 4890, Metro Ecuador, Estación Central, RM (Metropolitana)",290.000,,"0,2 UF/m²","0,25 UF/m²",48 m²,46 m²,2,1,,,,,,,,
137,Radal 066,Departamento,Publicado hace 20 días,2021-07-01,"Radal 1 - 300, Metro Ecuador, Estación Central, RM (Metropolitana)",240.000,,"0,22 UF/m²","0,26 UF/m²",36.1 m²,33 m²,1,1,,50000 CLP,,,,,,
138,Depto  Nuevo Con Estacionamiento,Departamento,Publicado hace 3 meses,2021-07-01,"Avenida Ecuador 4678 - Departamento 1106, Metro Ecuador, Estación Central, RM (Metropolitana)",320.000,,"0,27 UF/m²","0,26 UF/m²",40 m²,40 m²,1,1,1,60000 CLP,,,,,,
139,Departamento 1 Dorm Ed Eco Futuro I,Departamento,Publicado hace 3 meses,2021-07-01,"Radal 0102, Metro Ecuador, Estación Central, RM (Metropolitana)",220.000,,"0,21 UF/m²","0,26 UF/m²",35.5 m²,32.3 m²,1,1,,55000 CLP,,,,,,
140,Depto Amoblado 3d 1b - Metro San Alberto Hurtado  ,Departamento,Publicado hace 3 meses,2021-07-01,"Avenida Libertador Bernardo O'higgins 4200 - 4500, San Alberto Hurtado, Estación Central, RM (Metropolitana)",450.000,,"0,27 UF/m²",,56 m²,56 m²,3,1,,,,,,,,
141,Carlos Pezoa Véliz 0143,Departamento,Publicado hace 3 meses,2021-07-01,"Carlos Pezoa Véliz 0143, Metro Ecuador, Estación Central, RM (Metropolitana)",180.000,,"0,24 UF/m²","0,26 UF/m²",25 m²,25 m²,1,1,,,,,,,,
142,Coronel Souper 4060,Departamento,Publicado hace 3 meses,2021-07-01,"Coronel Souper 4060, San Alberto Hurtado, Estación Central, RM (Metropolitana)",190.000,,"0,21 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,,,,,,,
143,Carlos Pezoa Véliz 0143,Departamento,Publicado hace 3 meses,2021-07-01,"Carlos Pezoa Véliz 0143, Metro Ecuador, Estación Central, RM (Metropolitana)",180.000,,"0,24 UF/m²","0,26 UF/m²",25 m²,25 m²,1,1,,,,,,,,
144,1d+1b - Metro San Alberto Hurtado,Departamento,Publicado hace 3 meses,2021-07-01,"Coronel Souper 4060 - Departamento 1416, San Alberto Hurtado, Estación Central, RM (Metropolitana)",215.000,,"0,25 UF/m²","0,26 UF/m²",29 m²,29 m²,1,1,,36000 CLP,,,,,,
145,Departamento Cercano Metro Ecuador,Departamento,Publicado hace 21 días,2021-07-01,"Departamento Cercano Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",360.000,,"0,23 UF/m²","0,24 UF/m²",53 m²,48 m²,2,2,,,,,,,,
146,Radal 066,Departamento,Publicado hace 3 meses,2021-07-01,"Radal 066, Metro Ecuador, Estación Central, RM (Metropolitana)",280.000,,"0,25 UF/m²","0,26 UF/m²",37 m²,35 m²,1,1,,50000 CLP,,,,,,
147,Departamento Metro Ecuador,Departamento,Publicado hace 3 meses,2021-07-01,"Departamento Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",230.000,,"0,14 UF/m²",,54 m²,54 m²,1,1,,,,,,,,
148,"Santa Petronila 28, 2d1b $340.000",Departamento,Publicado hace 3 meses,2021-07-01,"Santa Petronila 28, Metro Las Rejas, Estación Central, RM (Metropolitana)",340.000,,"0,28 UF/m²","0,25 UF/m²",41 m²,39 m²,2,1,,50000 CLP,,,,,,
149,"Coronel Souper 4222, Estación Central 1d1b $275.000",Departamento,Publicado hace 3 meses,2021-07-01,"Coronel Souper 4222, San Alberto Hurtado, Estación Central, RM (Metropolitana)",275.000,,"0,26 UF/m²","0,26 UF/m²",35.11 m²,32.17 m²,1,1,,48500 CLP,,,,,,
150,Coronel Souper 4250,Departamento,Publicado hace 3 meses,2021-07-01,"Coronel Souper 4250, San Alberto Hurtado, Estación Central, RM (Metropolitana)",270.000,,"0,24 UF/m²","0,26 UF/m²",38.6 m²,35.74 m²,1,1,,52200 CLP,,,,,,
151,Coronel Souper 4250,Departamento,Publicado hace 3 meses,2021-07-01,"Coronel Souper 4250, San Alberto Hurtado, Estación Central, RM (Metropolitana)",275.000,,"0,24 UF/m²","0,26 UF/m²",38.6 m²,35.74 m²,1,1,,,,,,,,
152,General Amengual 145,Departamento,Publicado hace 3 meses,2021-07-01,"General Amengual 145, San Alberto Hurtado, Estación Central, RM (Metropolitana)",260.000,,"0,26 UF/m²","0,26 UF/m²",34 m²,34 m²,1,1,,,,,,,,
153,Hermoso Departamento De 1 Dormitorio 1 Baño,Departamento,Publicado hace 2 meses,2021-07-01,"Radal 1 - 300, Metro Ecuador, Estación Central, RM (Metropolitana)",260.000,,"0,21 UF/m²","0,26 UF/m²",42 m²,38 m²,1,1,,45000 CLP,,,,,,
154,Ecuador / Metro San Alberto Hurtado,Departamento,Publicado hace 3 meses,2021-07-01,"Avenida Ecuador 3900 - 4200, San Alberto Hurtado, Estación Central, RM (Metropolitana)",240.000,,"0,26 UF/m²","0,26 UF/m²",31 m²,29 m²,1,1,,,,,,,,
155,Metro San Alberto Hurtado / Alameda / Edif. Vitamax,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Padre Alberto Hurtado 1 - 300, Universidad de Santiago, Estación Central, RM (Metropolitana)",180.000,,"0,19 UF/m²","0,26 UF/m²",32 m²,32 m²,1,1,,,,,,,,
156," Dpto. 2 D + 1 B, Con Estacionamiento. Estación Central",Departamento,Publicado hace 3 meses,2021-07-01,"Coronel Souper 4060, San Alberto Hurtado, Estación Central, RM (Metropolitana)",315.000,,"0,25 UF/m²","0,25 UF/m²",42 m²,42 m²,2,1,1,,,,,,,
157,Avenida María Rozas Velásquez 51 - Departamento 2104,Departamento,Publicado hace 3 meses,2021-07-01,"Avenida María Rozas Velásquez 51 - Departamento 2104, Metro Las Rejas, Estación Central, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,24 UF/m²",50 m²,50 m²,2,2,,70000 CLP,,,,,,
158,Blanco Garcés 154 - Departamento 3307,Departamento,Publicado hace 3 meses,2021-07-01,"Blanco Garcés 154 - Departamento 3307, San Alberto Hurtado, Estación Central, RM (Metropolitana)",210.000,,"0,28 UF/m²","0,26 UF/m²",25 m²,25 m²,1,1,,30000 CLP,,,,,,
159,General Amengual 145,Departamento,Publicado hace 3 meses,2021-07-01,"General Amengual 145, San Alberto Hurtado, Estación Central, RM (Metropolitana)",280.000,,"0,21 UF/m²","0,25 UF/m²",45 m²,42 m²,2,1,,45000 CLP,,,,,,
160,Metro Ecuador,Departamento,Publicado hace 3 meses,2021-07-01,"Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",350.000,,"0,23 UF/m²","0,22 UF/m²",52 m²,52 m²,2,2,1,,,,,,,
161,Coronel Souper 4060,Departamento,Publicado hace 2 meses,2021-07-01,"Coronel Souper 4060, San Alberto Hurtado, Estación Central, RM (Metropolitana)",240.000,,"0,37 UF/m²","0,26 UF/m²",22 m²,22 m²,1,1,,20000 CLP,,,,,,
162,Avda Ecuador Altura Del 4400 - 4500,Departamento,Publicado hace 2 meses,2021-07-01,"Avda Ecuador Altura Del 4200 - 4500, Metro Ecuador, Estación Central, RM (Metropolitana)",340.000,,"0,21 UF/m²","0,25 UF/m²",54 m²,47 m²,2,1,,,,,,,,
163,Concón 165 - Departamento 1103,Departamento,Publicado hace 2 meses,2021-07-01,"Concón 165 - Departamento 1103, San Alberto Hurtado, Estación Central, RM (Metropolitana)",370.000,,"0,28 UF/m²","0,24 UF/m²",45 m²,45 m²,2,2,1,70000 CLP,,,,,,
164,Metro Alberto Padre Hurtado,Departamento,Publicado hace 7 días,2021-07-01,"Metro Alberto Padre Hurtado, San Alberto Hurtado, Estación Central, RM (Metropolitana)",220.000,,"0,25 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,45000 CLP,,,,,,
165,Coronel Souper 4222,Departamento,Publicado hace 2 meses,2021-07-01,"Coronel Souper 4222, San Alberto Hurtado, Estación Central, RM (Metropolitana)",275.000,,"0,26 UF/m²","0,26 UF/m²",35.11 m²,32.17 m²,1,1,,48500 CLP,,,,,,
166,1d+1b. Metro Ecuador - Dirección: Buzo Sobenes 4060,Departamento,Publicado hace 2 meses,2021-07-01,"Buzo Sobenes 4560 - Departamento 2417, San Alberto Hurtado, Estación Central, RM (Metropolitana)",240.000,,"0,28 UF/m²","0,26 UF/m²",29 m²,29 m²,1,1,,,,,,,,
167,Depto 2d|1b Conde Del Maule - Metro San Alberto Hurtado,Departamento,Publicado hace 2 meses,2021-07-01,"Depto 2d|1b Conde Del Maule - Metro San Alberto Hurtado, San Alberto Hurtado, Estación Central, RM (Metropolitana)",350.000,,"0,32 UF/m²","0,25 UF/m²",37 m²,35 m²,2,1,,35000 CLP,,,,,,
168,Radal / Ecuador,Departamento,Publicado hace 2 meses,2021-07-01,"Radal / Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",220.000,,"0,21 UF/m²","0,26 UF/m²",35 m²,35 m²,1,1,,,,,,,,
169,Coronel Souper 4222,Departamento,Publicado hace 2 meses,2021-07-01,"Coronel Souper 4222, San Alberto Hurtado, Estación Central, RM (Metropolitana)",275.000,,"0,26 UF/m²","0,26 UF/m²",35.1 m²,32.16 m²,1,1,,48500 CLP,,,,,,
170,Conde Del Maule 4642,Departamento,Publicado hace 2 meses,2021-07-01,"Conde Del Maule 4642, Metro Ecuador, Estación Central, RM (Metropolitana)",260.000,,"0,26 UF/m²","0,26 UF/m²",34 m²,32 m²,1,1,,35000 CLP,,,,,,
171,Conde Del Maule 4642,Departamento,Publicado hace 2 meses,2021-07-01,"Conde Del Maule 4642, Metro Ecuador, Estación Central, RM (Metropolitana)",225.000,,"0,41 UF/m²","0,26 UF/m²",18.62 m²,18.62 m²,1,1,,21000 CLP,,,,,,
172,Metro San Alberto Hurtado / / Conde Del Maule / / Entreg...,Departamento,,2021-07-01,"Metro San Alberto Hurtado / / Conde Del Maule / / Entrega Inmediata, San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,24 UF/m²","0,26 UF/m²",35 m²,35 m²,1,1,,,,,,,,
173,Metro Ecuador A Una Cuadra Semi-nuevo,Departamento,Publicado hace 2 meses,2021-07-01,"Avenida Libertador Bernardo O'higgins 4800 - 5100, Metro Ecuador, Estación Central, RM (Metropolitana)",240.000,,"0,22 UF/m²","0,26 UF/m²",37 m²,35 m²,1,1,,,,,,,,
174,Metro Ecuador,Departamento,Publicado hace 2 meses,2021-07-01,"Metro Ecuador, Metro Ecuador, Estación Central, RM (Metropolitana)",250.000,,"0,22 UF/m²","0,26 UF/m²",39 m²,35 m²,1,1,,,,,,,,
175,Conde Del Maule 4470,Departamento,Publicado hace 2 meses,2021-07-01,"Conde Del Maule 4470, San Alberto Hurtado, Estación Central, RM (Metropolitana)",260.000,,"0,27 UF/m²","0,26 UF/m²",32 m²,32 m²,1,1,,,,,,,,
176,"Depto 2d Est Y Bod, Cerca Metro San Alberto Hurtado",Departamento,Publicado hace 2 meses,2021-07-01,"Federico Scotto 130, Universidad de Santiago, Estación Central, RM (Metropolitana)",360.000,,"0,28 UF/m²","0,25 UF/m²",43 m²,41 m²,2,1,1,50000 CLP,,,,,,
177,Conde Del Maule 4364,Departamento,Publicado hace 2 meses,2021-07-01,"Conde Del Maule 4364, San Alberto Hurtado, Estación Central, RM (Metropolitana)",200.000,,"0,31 UF/m²","0,26 UF/m²",22 m²,22 m²,1,1,,,,,,,,
178,Conde Del Maule / Estacion Central,Departamento,Publicado hace 2 meses,2021-07-01,"Conde Del Maule / Estacion Central, San Alberto Hurtado, Estación Central, RM (Metropolitana)",270.000,,"0,3 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,,,,,,,
179,Blanco Garces/ Metro Ecuador/ Estacion Central,Departamento,Publicado hace 2 meses,2021-07-01,"Blanco Garcés 1 - 300, San Alberto Hurtado, Estación Central, RM (Metropolitana)",235.000,,"0,25 UF/m²","0,26 UF/m²",32 m²,32 m²,1,1,,23000 CLP,,,,,,
180,Excelente Departamento  Amoblado,Departamento,Publicado hace 2 meses,2021-07-01,"Nicasio Retamales 115, Universidad de Santiago, Estación Central, RM (Metropolitana)",350.000,,"0,24 UF/m²","0,24 UF/m²",50 m²,50 m²,2,2,,,,,,,,
181,"Departamento 2 Habitaciones, Con Estacionamiento Y Bodega",Departamento,Publicado hace 2 meses,2021-07-01,"Ecuador 5079, Metro Ecuador, Estación Central, RM (Metropolitana)",350.000,,"0,21 UF/m²","0,24 UF/m²",55 m²,50 m²,2,2,,,,,,,,
182,Carlos Pezoa Véliz 143,Departamento,Publicado hace 2 meses,2021-07-01,"Carlos Pezoa Véliz 143, Metro Ecuador, Estación Central, RM (Metropolitana)",250.000,,"0,26 UF/m²","0,26 UF/m²",32 m²,32 m²,1,1,,50000 CLP,,,,,,
183,Carlos Pezoa Véliz 143,Departamento,Publicado hace 2 meses,2021-07-01,"Carlos Pezoa Véliz 143, Metro Ecuador, Estación Central, RM (Metropolitana)",200.000,,"0,34 UF/m²","0,26 UF/m²",20 m²,20 m²,1,1,,30000 CLP,,,,,,
184,Coronel Souper 4060 - Departamento 1919,Departamento,Publicado hace 2 meses,2021-07-01,"Coronel Souper 4060 - Departamento 1919, San Alberto Hurtado, Estación Central, RM (Metropolitana)",250.000,,"0,21 UF/m²","0,26 UF/m²",40 m²,40 m²,1,1,,,,,,,,
185,Maria Rozas Velasquez 51 - Departamento 2017,Departamento,Publicado hace 2 meses,2021-07-01,"Maria Rozas Velasquez 51 - Departamento 2017, San Alberto Hurtado, Estación Central, RM (Metropolitana)",200.000,,"0,17 UF/m²","0,26 UF/m²",40 m²,40 m²,1,1,,,,,,,,
186,Nicasio Retamales 115 - Departamento 107,Departamento,Publicado hace 2 meses,2021-07-01,"Nicasio Retamales 115 - Departamento 107, Universidad de Santiago, Estación Central, RM (Metropolitana)",290.000,,"0,33 UF/m²","0,25 UF/m²",30 m²,30 m²,2,1,,,,,,,,
187,Metro Padre Hurtado,Departamento,Publicado hace 2 meses,2021-07-01,"Metro Padre Hurtado, San Alberto Hurtado, Estación Central, RM (Metropolitana)",200.000,,"0,22 UF/m²","0,26 UF/m²",30 m²,30 m²,1,1,,,,,,,,
188,Radal 66 - Departamento 1904,Departamento,Publicado hace 2 meses,2021-07-01,"Radal 66 - Departamento 1904, Metro Ecuador, Estación Central, RM (Metropolitana)",250.000,,"0,24 UF/m²","0,26 UF/m²",35 m²,35 m²,1,1,,70000 CLP,,,,,,
189,2008 Listo Para Habitar,Departamento,Publicado hace 2 meses,2021-07-01,"Radal 66 - Departamento 2008 A, Metro Ecuador, Estación Central, RM (Metropolitana)",320.000,,"0,2 UF/m²",,53 m²,53 m²,2,1,1,70000 CLP,,,,,,
190,Depto 906 Entrega Inmediata,Departamento,Publicado hace 2 meses,2021-07-01,"Radal 66 - Departamento 906 2b, Metro Ecuador, Estación Central, RM (Metropolitana)",340.000,,"0,21 UF/m²","0,22 UF/m²",54 m²,52 m²,2,2,1,70000 CLP,,,,,,
191,Metro Ecuador / Conde Del Maule / Metro Padre Hurtado,Departamento,Publicado hace 2 meses,2021-07-01,"Metro Ecuador / Conde Del Maule / Metro Padre Hurtado, San Alberto Hurtado, Estación Central, RM (Metropolitana)",260.000,,"0,24 UF/m²","0,26 UF/m²",37 m²,34 m²,1,1,,50000 CLP,,,,,,
