,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
93,Código: 102045252,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Portal la Dehesa / Albert Le Banc,UF 12.300,$ 363.212.604,3,4,,140 m²,170 m²,176.737.707,18-01-2021,2020 1ºSem,90,-33.3568,-70.518
94,Código: 408835,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Portal La Dehesa,UF 13.990,$ 413.117.425,3,3,,155 m²,185 m²,214.570.191,17-04-2021,2020 1ºSem,83,-33.358,-70.5146
95,Código: 420957,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Dehesa Central,UF 24.002,$ 708.766.578,4,3,800 m²,196 m²,,305.286.142,26-05-2021,2020 1ºSem,74,-33.3505,-70.5128
96,Código: 1058,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,CAMINO EL CORREGIDOR,UF 47.500,$ 1.402.650.300,6,8,2.061 m²,617 m²,,,12-06-2019,2020 1ºSem,74,-33.3519,-70.5142
97,Código: 101376098,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,"El Gabino , Lo barnechea",UF 11.600,$ 342.541.968,3,2,303 m²,106 m²,,107.810.099,30-05-2021,2020 1ºSem,60,-33.3531,-70.5105
98,Código: 6938,Departamento,Departamento en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,RAUL LABBE PADRE ALFREDO ARTEAGA,UF 6.700,$ 197.847.516,2,2,,92 m²,101 m²,111.159.306,15-06-2021,2020 1ºSem,83,-33.3541,-70.5125
99,Código: 102076530,Departamento,Departamento en Venta Usado Ñuñoa - Metropolitana Ver ubicación,Manuel Montt - Irarrázaval,UF 5.632,$ 166.310.031,2,1,,"44,7 m²","65,8 m²",140.157.699,17-11-2020,2020 1ºSem,68,-33.452,-70.6126
100,Código: 102076531,Departamento,Departamento en Venta Usado Ñuñoa - Metropolitana Ver ubicación,Manuel Montt - Irarrázaval,UF 5.478,$ 161.762.491,2,2,,"52,4 m²","67,5 m²",140.157.699,17-11-2020,2020 1ºSem,68,-33.452,-70.6126
101,Código: 102076525,Departamento,Departamento en Venta Usado Ñuñoa - Metropolitana Ver ubicación,Manuel Montt - Irarrázaval,UF 4.806,$ 141.918.680,1,1,,"32,3 m²","51,2 m²",140.157.699,17-11-2020,2020 1ºSem,68,-33.452,-70.6126
102,Código: 1028018284-26,Departamento,Departamento en Venta Usado Ñuñoa - Metropolitana Ver ubicación,Av Irarrazaval,UF 3.700,$ 109.259.076,1,1,,"40,7 m²","40,7 m²",38.645.342,14-01-2021,2020 1ºSem,68,-33.4534,-70.6129
103,,,,,UF 5.180,$ 152.962.706,2,1,,"45,7 m²","53,8 m²",92.663.067,17-11-2020,2020 1ºSem,68,-33.452,-70.6126
104,Código: Add973924,Casa,Casa en Venta Usado Ñuñoa - Metropolitana Ver ubicación,Carmen Covarrubias,$ 550.000.000,"UF 18.625,45",6,5,341 m²,214 m²,214 m²,136.784.441,01-12-2020,2020 1ºSem,39,-33.453795,-70.6113847
105,Código: 1028037052-96,Departamento,Departamento en Venta Usado Ñuñoa - Metropolitana Ver ubicación,AVENIDA JOSE DOMINGO CAÑAS,UF 6.350,$ 187.512.198,3,2,,100 m²,100 m²,96.673.047,26-06-2021,2020 1ºSem,68,-33.4564,-70.6134
106,Código: 102076553,Departamento,Departamento en Venta Usado Ñuñoa - Metropolitana Ver ubicación,Manuel Montt - Irarrázaval,UF 8.603,$ 254.042.116,2,1,,51 m²,182 m²,123.937.701,17-11-2020,2020 1ºSem,68,-33.452,-70.6126
