,cod_propiedad,tipo_propiedad,info_general,nombre_propiedad,precio_a,precio_b,n_dormitorios,n_banos,sup_terreno,sup_util,sup_construida,aval_fiscal,fecha_publicacion,fecha_plusvalia,valor_plusvalia,latitud,longitud
3182,Código: 101071155,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,GOLF DE MANQUEHUE,UF 35.000,$ 1.033.531.800,5,4,1.190 m²,430 m²,,494.933.281,17-10-2019,2020 1ºSem,72,-33.3413,-70.5597
3183,,,,,,,,,,,,,,,,,-70.5571
3184,Código: 101372214,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,El Golf de Manquehue,UF 26.000,$ 767.766.480,4,,1.000 m²,285 m²,,402.344.925,20-10-2020,2020 1ºSem,72,-33.3421,-70.5525
3185,Código: 101070753,Casa,Casa en Venta Usado Lo Barnechea - Metropolitana Ver ubicación,Camino Las Ermitas / Golf de Manquehue,UF 29.800,$ 879.978.504,6,4,1.261 m²,415 m²,,525.695.053,30-09-2019,2020 1ºSem,72,-33.3403,-70.5574
3186,,,,,UF 29.000,$ 856.354.920,6,4,843 m²,"314,5 m²",,310.148.958,12-01-2021,2020 1ºSem,72,-33.3406,-70.5523
3187,Código: 101711355,Casa,Casa en Venta Usado Pirque - Metropolitana Ver ubicación,Alcalde Hernan Prieto con Camino Las Parcelas,UF 28.000,$ 826.825.440,5,4,11.000 m²,220 m²,,,09-10-2019,,,-33.663,-70.5914
3188,Código: 102010891,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Leonardo Da Vinci - Rossini,UF 9.500,$ 280.530.060,2,2,,61 m²,237 m²,72.552.180,08-05-2021,2020 1ºSem,82,-33.4066,-70.5566
3189,Código: 1577652,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,Casa REMODELADA Las Clarisas,UF 34.500,$ 1.018.767.060,3,3,980 m²,313 m²,,361.856.999,28-05-2021,2020 1ºSem,83,-33.4035,-70.5592
3190,Código: 420908,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Los Trigales/Los Barbechos,UF 5.100,$ 150.600.348,1,1,,40 m²,42 m²,54.822.940,05-05-2021,2020 1ºSem,109,-33.4029,-70.5568
3191,Código: Add1081123,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Rafael Sanzio a pasos de metro Hernando de Magallanes,UF 6.800,$ 200.800.464,2,2,65 m²,50 m²,50 m²,63.324.578,07-06-2021,2020 1ºSem,82,-33.403035,-70.5552316
3192,,,,,,,,,,,,,,,,,
3193,Código: 102045413,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Pedro de Gamboa / Las Tranqueras,UF 9.500,$ 280.530.060,3,3,,96 m²,106 m²,116.607.528,20-03-2021,2020 1ºSem,109,-33.4008,-70.5561
3194,,,,Av Las condes / Los Barbechos,UF 5.100,$ 150.600.348,1,2,,45 m²,53 m²,79.554.792,13-05-2021,2020 1ºSem,109,-33.405,-70.5584
3195,Código: 102010827,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Av. Las Condes - Fray Angelico,UF 7.800,$ 230.329.944,2,2,,66 m²,76 m²,86.873.765,14-04-2021,2020 1ºSem,82,-33.4046,-70.5566
3196,Código: 101045384,Casa,Casa en Venta Usado Las Condes - Metropolitana Ver ubicación,La Oración / Avda. Las Condes,UF 17.200,$ 507.907.056,4,3,390 m²,190 m²,,161.817.802,12-03-2021,2020 1ºSem,83,-33.4029,-70.557
3197,,,,,,,,,,,,,,,,,
3198,Código: 1028050039-144,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Fray Angelico,UF 7.800,$ 230.329.944,2,2,,76 m²,76 m²,86.873.765,08-04-2021,2020 1ºSem,82,-33.4047,-70.5562
3199,,,,,,,,,,,:metrosConstruidos: m²,:avaluoFiscalTotalPesos:,:fechaPublicacionDespliegue:,,,-33.4059531,-70.5583426
3200,Código: 102132458,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Av. Las Condes / Los Barbechos / La Oración,UF 7.100,$ 209.659.308,2,2,,63 m²,66 m²,92.399.531,08-06-2021,2020 1ºSem,109,-33.4023,-70.5565
3201,Código: 102058096,Departamento,Departamento en Venta Usado Las Condes - Metropolitana Ver ubicación,Metro Hernando de Magallanes/Estadio Italiano,UF 5.100,$ 150.600.348,1,1,,38 m²,48 m²,57.158.042,06-02-2019,2020 1ºSem,82,-33.4066,-70.5564
